Time (Sec);S100;S1;S10;S11;S2;S3;S4;S5;S6;S7;S8;S9;S12;S13;S0;
0.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;
0.2;100.0;99.9998;99.9998;99.9998;99.9998;99.98701279999999;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98701279999999;
0.4;100.0;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.98691279999998;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.98691279999998;
0.6000000000000001;100.0;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.98681279999998;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.98681279999998;
0.8;100.0;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.98671279999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.98671279999998;
1.0;100.0;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.98661279999997;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.98661279999997;
1.0;100.0;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.98661279999997;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.98661279999997;
1.2;100.0;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.98651279999997;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.98651279999997;
1.4;100.0;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.98641279999997;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.98641279999997;
1.5999999999999999;100.0;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.98631279999996;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.98631279999996;
1.7999999999999998;100.0;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.98621279999996;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.98621279999996;
1.9999999999999998;100.0;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.98611279999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.98611279999996;
1.9999999999999998;100.0;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.98611279999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.98611279999996;
2.1999999999999997;100.0;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.98601279999995;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.98601279999995;
2.4;100.0;99.99869999999996;99.99869999999996;99.99869999999996;99.99869999999996;99.98591279999995;99.99869999999996;99.99869999999996;99.99869999999996;99.99869999999996;99.99869999999996;99.99869999999996;99.99869999999996;99.99869999999996;99.98591279999995;
2.6;100.0;99.99859999999995;99.99859999999995;99.99859999999995;99.99859999999995;99.98581279999995;99.99859999999995;99.99859999999995;99.99859999999995;99.99859999999995;99.99859999999995;99.99859999999995;99.99859999999995;99.99859999999995;99.98581279999995;
2.8000000000000003;100.0;99.99849999999995;99.99849999999995;99.99849999999995;99.99849999999995;99.98571279999994;99.99849999999995;99.99849999999995;99.99849999999995;99.99849999999995;99.99849999999995;99.99849999999995;99.99849999999995;99.99849999999995;99.98571279999994;
3.0000000000000004;100.0;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.98561279999994;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.98561279999994;
3.0000000000000004;100.0;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.98561279999994;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.99839999999995;99.98561279999994;
3.2;100.0;99.99829999999994;99.99829999999994;99.99829999999994;99.99829999999994;99.98551279999994;99.99829999999994;99.99829999999994;99.99829999999994;99.99829999999994;99.99829999999994;99.99829999999994;99.99829999999994;99.99829999999994;99.98551279999994;
3.4000000000000004;100.0;99.99819999999994;99.99819999999994;99.99819999999994;99.99819999999994;99.98541279999993;99.99819999999994;99.99819999999994;99.99819999999994;99.99819999999994;99.99819999999994;99.99819999999994;99.99819999999994;99.99819999999994;99.98541279999993;
3.6000000000000005;100.0;99.99809999999994;99.99809999999994;99.99809999999994;99.99809999999994;99.98531279999993;99.99809999999994;99.99809999999994;99.99809999999994;99.99809999999994;99.99809999999994;99.99809999999994;99.99809999999994;99.99809999999994;99.98531279999993;
3.8000000000000007;100.0;99.99799999999993;99.99799999999993;99.99799999999993;99.99799999999993;99.98521279999993;99.99799999999993;99.99799999999993;99.99799999999993;99.99799999999993;99.99799999999993;99.99799999999993;99.99799999999993;99.99799999999993;99.98521279999993;
4.000000000000001;100.0;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.98511279999992;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.98511279999992;
4.000000000000001;100.0;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.98511279999992;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.99789999999993;99.98511279999992;
